run,champion,runner_up,third_place
1999,Morocco,Mexico,Spain
2000,Japan,Belgium,Argentina
2001,Argentina,United States,Japan
2002,Canada,Egypt,Belgium
2003,Germany,Ivory Coast,Argentina
2004,Brazil,Canada,Argentina
2005,Spain,Japan,Switzerland
2006,Brazil,Netherlands,Senegal
2007,Spain,Australia,France
2008,Argentina,France,Japan
2009,Portugal,England,Colombia
2010,Japan,Netherlands,Portugal
2011,Spain,Brazil,Germany
2012,Spain,Ecuador,Germany
2013,Mexico,Belgium,Paraguay
2014,Argentina,France,England
2015,Egypt,Spain,France
2016,Argentina,France,Brazil
2017,Argentina,United States,Morocco
2018,Algeria,Senegal,Brazil
2019,France,Japan,Spain
2020,Germany,Argentina,Spain
2021,France,Cape Verde Islands,Mexico
2022,Colombia,Croatia,Paraguay
2023,France,England,Australia
2024,Spain,Ivory Coast,Netherlands
2025,Morocco,Argentina,Portugal
2026,France,Argentina,Spain
2027,Japan,Canada,Austria
2028,France,Brazil,Spain
2029,France,Argentina,United States
2030,Spain,Japan,France
2031,Argentina,Netherlands,Belgium
2032,Belgium,Argentina,England
2033,Germany,Argentina,England
2034,Argentina,Portugal,Germany
2035,Argentina,France,England
2036,Argentina,Belgium,Ecuador
2037,Norway,France,Colombia
2038,Argentina,Belgium,Brazil
2039,Germany,Argentina,Brazil
2040,Switzerland,Spain,Mexico
2041,Australia,Netherlands,Belgium
2042,Colombia,Belgium,France
2043,France,England,Switzerland
2044,England,Spain,Egypt
2045,England,Morocco,United States
2046,Spain,England,Paraguay
2047,England,France,Spain
2048,Argentina,Belgium,Sweden
2049,Netherlands,Colombia,Spain
2050,France,Argentina,Spain
2051,Brazil,Belgium,Colombia
2052,Belgium,Colombia,Germany
2053,Spain,Japan,France
2054,England,Portugal,Morocco
2055,Argentina,Portugal,Canada
2056,England,United States,Algeria
2057,Colombia,France,Portugal
2058,France,Argentina,Spain
2059,Spain,Argentina,Japan
2060,Mexico,France,Spain
2061,Argentina,Senegal,Ecuador
2062,Colombia,Netherlands,Belgium
2063,Spain,Brazil,Netherlands
2064,Belgium,Switzerland,England
2065,Argentina,Belgium,England
2066,Mexico,Canada,Portugal
2067,Belgium,Argentina,England
2068,Portugal,Colombia,France
2069,Austria,Japan,Netherlands
2070,Argentina,Senegal,Mexico
2071,Spain,Japan,Colombia
2072,Brazil,France,Spain
2073,Japan,France,Egypt
2074,England,Germany,Argentina
2075,Spain,England,Algeria
2076,Argentina,Netherlands,England
2077,France,England,Spain
2078,England,Germany,Switzerland
2079,Netherlands,Argentina,Ecuador
2080,Netherlands,Argentina,Spain
2081,Canada,Norway,Spain
2082,France,England,Colombia
2083,England,Netherlands,Belgium
2084,Spain,England,France
2085,United States,Brazil,Cape Verde Islands
2086,Egypt,Morocco,Brazil
2087,Spain,England,Germany
2088,Brazil,Portugal,Netherlands
2089,Argentina,Spain,Canada
2090,Sweden,England,Argentina
2091,Colombia,France,Spain
2092,Belgium,Argentina,Netherlands
2093,France,Argentina,Spain
2094,Argentina,Senegal,Norway
2095,Egypt,United States,Sweden
2096,Norway,Canada,Spain
2097,Argentina,Netherlands,Japan
2098,France,Argentina,Senegal
2099,Morocco,Japan,Spain
2100,Ivory Coast,Portugal,Algeria
2101,Spain,England,Egypt
2102,Mexico,Spain,Switzerland
2103,England,Sweden,Croatia
2104,Ecuador,Spain,Algeria
2105,Spain,England,Netherlands
2106,Norway,Canada,Egypt
2107,Spain,Norway,Paraguay
2108,Portugal,Argentina,France
2109,France,Australia,Senegal
2110,Argentina,Portugal,Norway
2111,France,Colombia,Belgium
2112,Ecuador,France,Spain
2113,Colombia,Austria,Brazil
2114,Belgium,Cape Verde Islands,Sweden
2115,France,Algeria,Ivory Coast
2116,England,Germany,Spain
2117,Spain,Argentina,France
2118,Spain,Norway,Argentina
2119,Spain,Australia,England
2120,Algeria,Germany,Brazil
2121,Austria,Switzerland,England
2122,Spain,Argentina,Ecuador
2123,England,Morocco,Colombia
2124,Colombia,Morocco,Austria
2125,Brazil,France,Spain
2126,Japan,Austria,Netherlands
2127,Mexico,Belgium,Switzerland
2128,Mexico,Belgium,Netherlands
2129,Ivory Coast,Spain,Australia
2130,Spain,England,Algeria
2131,France,Congo DR,Bosnia-Herzegovina
2132,England,Senegal,Argentina
2133,Senegal,Switzerland,France
2134,Portugal,Argentina,Japan
2135,Mexico,Paraguay,Senegal
2136,Germany,Japan,Egypt
2137,Colombia,France,Belgium
2138,England,Belgium,France
2139,Australia,Portugal,Paraguay
2140,Argentina,Netherlands,Croatia
2141,Argentina,France,Spain
2142,Argentina,Spain,Japan
2143,Spain,Mexico,Germany
2144,England,Belgium,Argentina
2145,France,Colombia,Brazil
2146,Germany,Egypt,Japan
2147,Spain,Mexico,Argentina
2148,France,Brazil,United States
2149,France,England,Argentina
2150,France,Australia,Mexico
2151,Netherlands,Argentina,Portugal
2152,Algeria,France,Ecuador
2153,Spain,England,Argentina
2154,Argentina,Germany,England
2155,Japan,Portugal,France
2156,Portugal,Egypt,France
2157,Argentina,Senegal,Germany
2158,Brazil,Germany,Portugal
2159,Spain,Norway,Switzerland
2160,Belgium,Argentina,Morocco
2161,France,Norway,Australia
2162,Canada,Argentina,United States
2163,Japan,United States,France
2164,Senegal,Colombia,Mexico
2165,Japan,France,Spain
2166,Brazil,Germany,Spain
2167,Argentina,Spain,Brazil
2168,England,Germany,Spain
2169,Germany,Ecuador,Belgium
2170,Australia,Morocco,Bosnia-Herzegovina
2171,France,Norway,United States
2172,Netherlands,Argentina,Ivory Coast
2173,Norway,Austria,Colombia
2174,Belgium,Ivory Coast,Paraguay
2175,England,Netherlands,Portugal
2176,Brazil,Morocco,Belgium
2177,Austria,Argentina,Morocco
2178,Norway,Spain,Algeria
2179,France,Argentina,Ivory Coast
2180,United States,Argentina,Morocco
2181,England,Spain,Netherlands
2182,France,England,Spain
2183,Japan,France,United States
2184,Argentina,Portugal,Morocco
2185,Brazil,Netherlands,Switzerland
2186,France,Argentina,Brazil
2187,Spain,Japan,France
2188,Spain,England,Australia
2189,Croatia,Argentina,Brazil
2190,Netherlands,Argentina,Brazil
2191,Argentina,Germany,Japan
2192,Morocco,Egypt,Spain
2193,Spain,Japan,Morocco
2194,England,Germany,Colombia
2195,Germany,Argentina,Ecuador
2196,Germany,England,Spain
2197,Argentina,Spain,France
2198,England,Canada,Argentina
2199,Spain,Argentina,Netherlands
2200,England,France,Colombia
2201,Argentina,France,Portugal
2202,England,Spain,Netherlands
2203,England,Spain,Netherlands
2204,Senegal,Colombia,Mexico
2205,Argentina,Belgium,France
2206,Spain,Switzerland,Mexico
2207,France,Argentina,England
2208,England,Morocco,Argentina
2209,Argentina,Germany,Ecuador
2210,Argentina,Austria,Japan
2211,France,Ivory Coast,Spain
2212,Argentina,France,Brazil
2213,Spain,Mexico,Morocco
2214,Morocco,Colombia,Norway
2215,Morocco,Argentina,England
2216,Argentina,Germany,Portugal
2217,Colombia,France,England
2218,Brazil,Belgium,France
2219,England,Portugal,Argentina
2220,France,Brazil,Spain
2221,Spain,Ecuador,Cape Verde Islands
2222,Germany,England,Argentina
2223,Spain,Argentina,Norway
2224,Portugal,England,Argentina
2225,Algeria,Spain,Mexico
2226,Argentina,Spain,Ecuador
2227,Argentina,France,Mexico
2228,Ecuador,Germany,Croatia
2229,Argentina,Netherlands,Ecuador
2230,Netherlands,Mexico,Portugal
2231,England,Belgium,Argentina
2232,Netherlands,Norway,Spain
2233,Switzerland,Belgium,France
2234,Australia,Germany,England
2235,Argentina,Canada,Norway
2236,Mexico,Senegal,Egypt
2237,Colombia,United States,Morocco
2238,France,Argentina,Brazil
2239,Spain,Egypt,France
2240,England,Netherlands,Austria
2241,Colombia,Portugal,Norway
2242,Brazil,Senegal,Ghana
2243,Japan,France,Argentina
2244,Argentina,France,Spain
2245,Argentina,Belgium,Brazil
2246,Argentina,Netherlands,Austria
2247,Brazil,Germany,United States
2248,Belgium,Colombia,Brazil
2249,Australia,Belgium,Norway
2250,Brazil,Netherlands,Switzerland
2251,Argentina,France,Brazil
2252,Mexico,Belgium,Argentina
2253,Netherlands,Norway,United States
2254,Spain,Argentina,Norway
2255,Switzerland,Portugal,Mexico
2256,Belgium,Brazil,Australia
2257,Spain,England,Netherlands
2258,Spain,Norway,Germany
2259,Spain,Ivory Coast,Australia
2260,Argentina,Germany,Senegal
2261,France,Brazil,Argentina
2262,Bosnia-Herzegovina,Egypt,England
2263,Switzerland,Belgium,Paraguay
2264,Spain,England,Australia
2265,Argentina,Croatia,Sweden
2266,Argentina,Belgium,Canada
2267,Spain,Japan,France
2268,Brazil,France,Argentina
2269,England,Germany,Spain
2270,Portugal,Brazil,Egypt
2271,Spain,Argentina,Germany
2272,Paraguay,Japan,Spain
2273,Argentina,France,Brazil
2274,Ivory Coast,Canada,Senegal
2275,Australia,Belgium,France
2276,Japan,Germany,Spain
2277,Norway,Paraguay,Colombia
2278,Norway,Portugal,Egypt
2279,France,Egypt,Ivory Coast
2280,Netherlands,Argentina,Senegal
2281,Brazil,Portugal,Canada
2282,Argentina,Spain,Sweden
2283,Colombia,Portugal,Japan
2284,Colombia,Morocco,Japan
2285,Netherlands,Argentina,Spain
2286,England,Belgium,Netherlands
2287,Brazil,France,Senegal
2288,Argentina,Spain,Morocco
2289,Netherlands,Argentina,Japan
2290,Canada,Congo DR,United States
2291,Netherlands,Switzerland,Senegal
2292,Portugal,Argentina,Paraguay
2293,Croatia,Switzerland,Brazil
2294,Argentina,Morocco,Spain
2295,France,Colombia,Croatia
2296,France,Argentina,Mexico
2297,Spain,England,Colombia
2298,Netherlands,England,Australia
2299,Argentina,France,United States
2300,France,Japan,Spain
2301,Morocco,Ecuador,Spain
2302,Germany,Brazil,Senegal
2303,France,Australia,England
2304,Canada,Mexico,Argentina
2305,Portugal,Algeria,Japan
2306,Argentina,Morocco,Mexico
2307,Germany,Cape Verde Islands,Japan
2308,France,Colombia,Austria
2309,Senegal,Argentina,Japan
2310,Spain,Argentina,Norway
2311,Brazil,Senegal,Colombia
2312,Mexico,Spain,Netherlands
2313,Argentina,Netherlands,Belgium
2314,Colombia,Spain,Norway
2315,England,France,Australia
2316,Brazil,France,Belgium
2317,Portugal,Algeria,England
2318,Algeria,Germany,Spain
2319,Brazil,France,Spain
2320,Argentina,Netherlands,Portugal
2321,Netherlands,Argentina,Spain
2322,Portugal,Switzerland,Japan
2323,France,Norway,Austria
2324,Ivory Coast,France,Argentina
2325,England,Germany,Argentina
2326,Switzerland,Netherlands,Senegal
2327,Belgium,Brazil,France
2328,Spain,Switzerland,Brazil
2329,Portugal,Cape Verde Islands,Norway
2330,Belgium,Colombia,Morocco
2331,Argentina,Morocco,Brazil
2332,France,Colombia,Spain
2333,Morocco,Norway,Switzerland
2334,Senegal,Japan,Argentina
2335,Morocco,England,Senegal
2336,Sweden,Switzerland,Portugal
2337,Colombia,Canada,Spain
2338,Argentina,Netherlands,Japan
2339,Canada,Algeria,Japan
2340,Spain,Argentina,Brazil
2341,England,Netherlands,Argentina
2342,England,Portugal,Canada
2343,Argentina,United States,England
2344,Argentina,Belgium,Morocco
2345,Argentina,Austria,Canada
2346,Switzerland,Sweden,Norway
2347,Morocco,Ecuador,United States
2348,Argentina,France,Mexico
2349,Japan,Germany,Colombia
2350,France,Colombia,Belgium
2351,Mexico,Belgium,France
2352,England,Portugal,Germany
2353,France,Argentina,Brazil
2354,France,Ecuador,Argentina
2355,Argentina,Spain,Canada
2356,Netherlands,Brazil,Croatia
2357,Argentina,Netherlands,England
2358,England,Sweden,Switzerland
2359,Argentina,Spain,Brazil
2360,Egypt,Germany,Norway
2361,Spain,Argentina,Japan
2362,England,United States,Australia
2363,Paraguay,Congo DR,Switzerland
2364,Brazil,Spain,Argentina
2365,Germany,Japan,Portugal
2366,France,Colombia,Spain
2367,Spain,England,Switzerland
2368,Portugal,Ivory Coast,Colombia
2369,Canada,Argentina,Norway
2370,Switzerland,Belgium,Japan
2371,Spain,Japan,France
2372,Netherlands,Australia,Belgium
2373,Spain,Argentina,Ivory Coast
2374,Mexico,Austria,Colombia
2375,England,Spain,France
2376,Mexico,France,United States
2377,Germany,Argentina,England
2378,Switzerland,Austria,Canada
2379,France,Brazil,Belgium
2380,Netherlands,England,Spain
2381,Argentina,Morocco,Spain
2382,Argentina,Portugal,Canada
2383,England,Austria,Argentina
2384,Croatia,Colombia,Brazil
2385,Spain,Mexico,Colombia
2386,Portugal,Switzerland,Norway
2387,Germany,Ecuador,Colombia
2388,Belgium,Argentina,Brazil
2389,Switzerland,France,England
2390,Canada,Egypt,Brazil
2391,Argentina,Croatia,France
2392,Spain,Argentina,Morocco
2393,Brazil,Belgium,France
2394,France,Argentina,Spain
2395,Spain,Norway,Germany
2396,United States,Japan,Argentina
2397,Germany,Mexico,United States
2398,Argentina,Canada,Portugal
2399,Netherlands,Colombia,Croatia
2400,Spain,Egypt,Germany
2401,Australia,Croatia,Morocco
2402,Ivory Coast,Canada,Senegal
2403,France,Argentina,Japan
2404,Germany,Ecuador,Argentina
2405,Argentina,Spain,Germany
2406,Netherlands,Japan,Colombia
2407,England,France,Spain
2408,Morocco,Switzerland,United States
2409,Morocco,Mexico,Argentina
2410,Brazil,France,Portugal
2411,France,Colombia,Senegal
2412,Belgium,Argentina,Paraguay
2413,Argentina,Belgium,Morocco
2414,Mexico,Canada,Spain
2415,Mexico,Netherlands,Argentina
2416,Germany,England,Argentina
2417,Portugal,England,Morocco
2418,Mexico,Germany,Ghana
2419,Portugal,Brazil,Morocco
2420,Switzerland,Germany,Portugal
2421,Spain,England,Argentina
2422,France,Japan,Switzerland
2423,Colombia,Senegal,England
2424,Argentina,Netherlands,England
2425,Japan,Spain,Netherlands
2426,Ecuador,Germany,Argentina
2427,Germany,Japan,Spain
2428,Spain,Mexico,Canada
2429,Spain,Mexico,Netherlands
2430,Norway,Portugal,Algeria
2431,England,Spain,Netherlands
2432,Australia,United States,Japan
2433,England,Portugal,Argentina
2434,Brazil,Canada,Argentina
2435,Australia,France,Japan
2436,France,Japan,Argentina
2437,Belgium,Colombia,France
2438,France,Colombia,Brazil
2439,Belgium,Australia,Germany
2440,France,Colombia,Portugal
2441,Colombia,France,England
2442,France,Japan,Argentina
2443,France,England,Colombia
2444,England,Spain,Argentina
2445,Belgium,Algeria,France
2446,Argentina,Belgium,Japan
2447,Argentina,France,Mexico
2448,England,Canada,Argentina
2449,France,Argentina,Brazil
2450,Argentina,Portugal,England
2451,Netherlands,Argentina,Portugal
2452,Mexico,France,United States
2453,Senegal,England,Netherlands
2454,Mexico,Portugal,Canada
2455,Sweden,England,Algeria
2456,Belgium,Argentina,Morocco
2457,Mexico,Spain,Morocco
2458,Mexico,Netherlands,United States
2459,Argentina,Belgium,Sweden
2460,Brazil,France,Croatia
2461,United States,Switzerland,France
2462,Spain,Colombia,Germany
2463,Argentina,France,England
2464,Morocco,Japan,Austria
2465,Belgium,Argentina,Japan
2466,Morocco,England,Croatia
2467,Morocco,Japan,Croatia
2468,France,Switzerland,Mexico
2469,Morocco,England,Argentina
2470,Colombia,Portugal,Morocco
2471,Argentina,Netherlands,Belgium
2472,Brazil,France,Belgium
2473,Spain,Brazil,France
2474,Germany,Argentina,Spain
2475,Colombia,France,England
2476,Netherlands,Argentina,Senegal
2477,Portugal,England,Canada
2478,Spain,Brazil,Canada
2479,Brazil,Netherlands,Senegal
2480,Colombia,Spain,France
2481,Argentina,Belgium,Brazil
2482,Germany,Argentina,Brazil
2483,Mexico,Austria,Argentina
2484,England,France,Argentina
2485,England,Belgium,Argentina
2486,Norway,Senegal,Morocco
2487,Spain,Argentina,Mexico
2488,Canada,Argentina,Spain
2489,Switzerland,Canada,Senegal
2490,Spain,Argentina,England
2491,Switzerland,Sweden,Spain
2492,Germany,Argentina,Mexico
2493,Mexico,Germany,Argentina
2494,Croatia,Ecuador,France
2495,Argentina,Portugal,France
2496,Brazil,Spain,France
2497,Morocco,Brazil,Portugal
2498,Brazil,Germany,Spain
2499,Argentina,United States,Ivory Coast
2500,Spain,Australia,Japan
2501,Morocco,England,Portugal
2502,Belgium,Brazil,Algeria
2503,Sweden,England,Belgium
2504,Colombia,France,England
2505,Mexico,Belgium,Canada
2506,France,Colombia,Norway
2507,Netherlands,Brazil,Colombia
2508,Sweden,Colombia,Mexico
2509,Argentina,France,Ecuador
2510,Argentina,Spain,Morocco
2511,Mexico,Canada,Spain
2512,Algeria,Netherlands,Spain
2513,Brazil,Spain,Egypt
2514,Argentina,Netherlands,Japan
2515,France,Colombia,Brazil
2516,Netherlands,Ivory Coast,Croatia
2517,Argentina,Spain,Netherlands
2518,France,Australia,Brazil
2519,Croatia,Brazil,Argentina
2520,Spain,England,France
2521,Mexico,Belgium,Sweden
2522,Brazil,Austria,Ghana
2523,Portugal,Mexico,France
2524,France,England,Argentina
2525,Canada,Mexico,Spain
2526,Morocco,Argentina,Ecuador
2527,Croatia,Australia,England
2528,France,England,Senegal
2529,Argentina,Belgium,England
2530,Switzerland,Canada,Spain
2531,Argentina,Spain,Canada
2532,Spain,Brazil,Algeria
2533,Argentina,France,Japan
2534,England,Belgium,Canada
2535,Germany,Argentina,Norway
2536,Morocco,Japan,Switzerland
2537,Colombia,Netherlands,Belgium
2538,Belgium,England,France
2539,Spain,England,Colombia
2540,Argentina,United States,Germany
2541,Spain,Argentina,England
2542,France,Argentina,Belgium
2543,United States,Norway,France
2544,France,Argentina,Belgium
2545,France,Brazil,Switzerland
2546,France,Japan,Argentina
2547,Argentina,Netherlands,Belgium
2548,France,Mexico,United States
2549,Argentina,Belgium,Canada
2550,Argentina,Spain,France
2551,France,Argentina,Croatia
2552,France,Norway,Spain
2553,Germany,England,United States
2554,Germany,Australia,England
2555,Mexico,Croatia,Argentina
2556,Mexico,Austria,France
2557,Argentina,Belgium,Germany
2558,Croatia,Ivory Coast,France
2559,Japan,Portugal,Canada
2560,Argentina,Portugal,England
2561,Portugal,Norway,Egypt
2562,Argentina,Canada,Mexico
2563,Argentina,Portugal,England
2564,Brazil,Portugal,Argentina
2565,Spain,Argentina,Mexico
2566,Spain,Argentina,Morocco
2567,Spain,Brazil,Argentina
2568,England,Morocco,Austria
2569,Norway,Spain,Argentina
2570,France,Argentina,England
2571,Argentina,Belgium,Japan
2572,Spain,Norway,Germany
2573,Brazil,Canada,Spain
2574,England,Austria,Switzerland
2575,France,Argentina,Portugal
2576,Argentina,Austria,Germany
2577,Spain,Argentina,France
2578,Canada,Argentina,England
2579,Germany,Switzerland,Croatia
2580,Argentina,Spain,Brazil
2581,Argentina,Paraguay,Mexico
2582,England,Germany,United States
2583,Netherlands,Argentina,Senegal
2584,Spain,Argentina,Ecuador
2585,Argentina,Morocco,Spain
2586,Brazil,Canada,Ghana
2587,Switzerland,Spain,Germany
2588,Belgium,Japan,Germany
2589,France,Argentina,Spain
2590,Egypt,Belgium,France
2591,Japan,France,Belgium
2592,France,Colombia,Norway
2593,Mexico,Netherlands,Argentina
2594,Norway,Netherlands,Switzerland
2595,France,Egypt,Portugal
2596,Argentina,Spain,Sweden
2597,Argentina,Germany,Belgium
2598,Brazil,Morocco,Argentina
2599,England,United States,Argentina
2600,Morocco,Argentina,Belgium
2601,Belgium,Argentina,Canada
2602,Germany,Brazil,Switzerland
2603,Argentina,France,Belgium
2604,England,Austria,France
2605,Argentina,Croatia,England
2606,France,Australia,Spain
2607,Brazil,Croatia,Argentina
2608,Argentina,Croatia,Brazil
2609,Argentina,France,Belgium
2610,Portugal,England,France
2611,Senegal,England,Netherlands
2612,Portugal,Colombia,Canada
2613,France,England,Argentina
2614,Morocco,Colombia,Portugal
2615,Germany,Ecuador,Croatia
2616,Japan,Belgium,France
2617,Canada,Norway,Spain
2618,Belgium,Japan,Colombia
2619,Portugal,Brazil,Argentina
2620,England,Netherlands,United States
2621,Colombia,Belgium,Norway
2622,France,Argentina,Senegal
2623,Japan,Canada,United States
2624,Colombia,Spain,France
2625,Japan,Netherlands,Ghana
2626,Brazil,Netherlands,Austria
2627,Croatia,Ivory Coast,Germany
2628,Argentina,Belgium,Netherlands
2629,Portugal,Australia,Brazil
2630,Netherlands,Norway,Argentina
2631,France,England,Bosnia-Herzegovina
2632,England,Spain,Argentina
2633,France,Brazil,Croatia
2634,England,Canada,Argentina
2635,France,Australia,England
2636,Belgium,Norway,Argentina
2637,Portugal,Argentina,Brazil
2638,England,Netherlands,Portugal
2639,Argentina,Canada,Spain
2640,Croatia,Ecuador,Algeria
2641,Morocco,Norway,Argentina
2642,Brazil,Germany,Portugal
2643,Netherlands,Egypt,Spain
2644,Switzerland,Belgium,England
2645,Portugal,Colombia,Japan
2646,England,Netherlands,Belgium
2647,Argentina,Portugal,Ecuador
2648,Spain,England,Canada
2649,Argentina,Spain,Norway
2650,Spain,Egypt,Japan
2651,Colombia,Belgium,Germany
2652,Spain,Argentina,Mexico
2653,Argentina,United States,France
2654,England,Morocco,Spain
2655,England,Croatia,Argentina
2656,Paraguay,Algeria,Brazil
2657,Morocco,Ecuador,Australia
2658,Argentina,Sweden,England
2659,Portugal,Argentina,France
2660,Netherlands,Mexico,Portugal
2661,France,England,Portugal
2662,Algeria,Portugal,Germany
2663,Argentina,Germany,Croatia
2664,Germany,Argentina,United States
2665,Germany,England,United States
2666,England,Austria,Germany
2667,Spain,Japan,Australia
2668,Senegal,Colombia,France
2669,Argentina,Belgium,Canada
2670,Netherlands,Colombia,Japan
2671,Portugal,Mexico,Argentina
2672,Spain,Ivory Coast,Colombia
2673,France,Japan,Belgium
2674,Mexico,Croatia,Sweden
2675,England,Germany,Argentina
2676,Portugal,Argentina,Germany
2677,Croatia,Mexico,France
2678,Portugal,Norway,Ghana
2679,Germany,Ivory Coast,Austria
2680,Colombia,Spain,Morocco
2681,Argentina,Croatia,France
2682,Spain,Japan,Colombia
2683,Portugal,Mexico,Colombia
2684,Spain,Argentina,Canada
2685,Portugal,Algeria,Norway
2686,Spain,England,Morocco
2687,Spain,Ecuador,Netherlands
2688,Netherlands,England,Austria
2689,Norway,Germany,Argentina
2690,Ivory Coast,Canada,Algeria
2691,England,Netherlands,Algeria
2692,Germany,Argentina,United States
2693,Sweden,Argentina,Brazil
2694,England,Belgium,France
2695,Brazil,Canada,Spain
2696,Spain,Argentina,England
2697,Mexico,Spain,Australia
2698,Argentina,Portugal,England
2699,Argentina,Morocco,Spain
2700,Belgium,Australia,Ecuador
2701,Brazil,Germany,Egypt
2702,Australia,Belgium,Brazil
2703,Netherlands,Japan,Argentina
2704,England,Austria,Colombia
2705,Paraguay,Japan,Spain
2706,Portugal,Japan,Germany
2707,Canada,Brazil,Egypt
2708,France,Colombia,Brazil
2709,Spain,Japan,France
2710,Morocco,Brazil,United States
2711,France,Argentina,Portugal
2712,Switzerland,France,Ecuador
2713,England,France,Spain
2714,Argentina,Portugal,Sweden
2715,Portugal,Colombia,Ivory Coast
2716,England,Portugal,Morocco
2717,Spain,Norway,Switzerland
2718,Belgium,Argentina,Brazil
2719,Algeria,Spain,Germany
2720,Ivory Coast,Portugal,France
2721,Egypt,France,Brazil
2722,France,Brazil,Spain
2723,France,Argentina,Croatia
2724,Mexico,Belgium,Colombia
2725,Japan,Canada,Switzerland
2726,Netherlands,Algeria,Mexico
2727,Spain,Brazil,Sweden
2728,Spain,Algeria,France
2729,Spain,Brazil,Netherlands
2730,Brazil,Senegal,Argentina
2731,Spain,Egypt,England
2732,Morocco,Ivory Coast,Belgium
2733,Morocco,Brazil,United States
2734,France,Colombia,Ivory Coast
2735,Argentina,Germany,Spain
2736,Morocco,Japan,Croatia
2737,England,France,Croatia
2738,Argentina,Spain,Canada
2739,France,Brazil,Portugal
2740,England,Sweden,Argentina
2741,Portugal,Colombia,Japan
2742,France,Brazil,Argentina
2743,Netherlands,Mexico,Spain
2744,Australia,United States,Japan
2745,Portugal,Algeria,Netherlands
2746,Belgium,Ivory Coast,Argentina
2747,Netherlands,Colombia,United States
2748,Netherlands,Egypt,Ecuador
2749,England,Germany,Spain
2750,Japan,Germany,Egypt
2751,Spain,Brazil,Germany
2752,Netherlands,England,Portugal
2753,Belgium,Colombia,Brazil
2754,Japan,Spain,Netherlands
2755,Argentina,France,Austria
2756,England,Belgium,Argentina
2757,Brazil,Senegal,Germany
2758,France,Brazil,Switzerland
2759,Netherlands,Egypt,England
2760,Croatia,Colombia,Brazil
2761,Japan,Portugal,Colombia
2762,Germany,England,Switzerland
2763,Argentina,Senegal,Morocco
2764,Brazil,Spain,France
2765,Canada,Norway,Austria
2766,France,Algeria,Spain
2767,Brazil,Morocco,Portugal
2768,Argentina,Croatia,Mexico
2769,Spain,Norway,Colombia
2770,Belgium,Norway,Colombia
2771,Germany,Argentina,England
2772,United States,Norway,Algeria
2773,Netherlands,England,Egypt
2774,France,Argentina,Belgium
2775,Belgium,Brazil,France
2776,Ivory Coast,Senegal,Canada
2777,England,Croatia,Algeria
2778,Germany,Australia,Mexico
2779,England,Belgium,Colombia
2780,Ecuador,United States,Paraguay
2781,Mexico,Morocco,Argentina
2782,Brazil,Netherlands,Colombia
2783,United States,Colombia,France
2784,France,Argentina,Portugal
2785,Belgium,Colombia,France
2786,Argentina,Paraguay,Japan
2787,Egypt,Croatia,Norway
2788,Belgium,Colombia,France
2789,France,Brazil,Austria
2790,Brazil,France,Colombia
2791,Spain,Japan,France
2792,Spain,England,Switzerland
2793,France,Argentina,Spain
2794,Argentina,Portugal,Japan
2795,England,Austria,Colombia
2796,Argentina,Spain,Japan
2797,Spain,Switzerland,Canada
2798,France,Switzerland,Brazil
2799,Netherlands,England,Spain
2800,Netherlands,Algeria,Brazil
2801,Argentina,Portugal,France
2802,Spain,Argentina,France
2803,England,Paraguay,United States
2804,Germany,Colombia,Senegal
2805,France,Argentina,Senegal
2806,Croatia,Colombia,England
2807,Mexico,France,Spain
2808,England,Portugal,Netherlands
2809,Canada,Switzerland,Croatia
2810,Morocco,Argentina,Ecuador
2811,Portugal,Argentina,Brazil
2812,Netherlands,Argentina,Croatia
2813,Morocco,Egypt,Portugal
2814,Portugal,England,Germany
2815,England,Canada,Australia
2816,Spain,Norway,France
2817,Brazil,Belgium,Canada
2818,England,Netherlands,Argentina
2819,Australia,Germany,Norway
2820,Mexico,Netherlands,Belgium
2821,Ecuador,Germany,Spain
2822,Ecuador,Morocco,Egypt
2823,Belgium,Argentina,Netherlands
2824,Switzerland,France,Japan
2825,Portugal,England,Germany
2826,Argentina,Belgium,Canada
2827,Belgium,Colombia,Japan
2828,Argentina,Portugal,England
2829,Colombia,Spain,England
2830,Japan,Spain,Ghana
2831,Belgium,England,Germany
2832,Argentina,France,Brazil
2833,Argentina,Spain,Brazil
2834,Ivory Coast,Portugal,Netherlands
2835,England,Senegal,Sweden
2836,Argentina,Portugal,Germany
2837,England,Morocco,Algeria
2838,Brazil,Croatia,Argentina
2839,Japan,Germany,Senegal
2840,Argentina,Morocco,Croatia
2841,Brazil,France,Spain
2842,Mexico,Austria,Switzerland
2843,Germany,England,Cape Verde Islands
2844,Belgium,Mexico,France
2845,Colombia,Canada,Spain
2846,Argentina,Spain,Canada
2847,Belgium,Switzerland,Mexico
2848,Spain,Ecuador,Argentina
2849,Germany,England,United States
2850,Brazil,Croatia,Paraguay
2851,Ivory Coast,France,Spain
2852,England,Germany,Portugal
2853,England,Portugal,Morocco
2854,Morocco,Australia,Senegal
2855,Mexico,Morocco,Croatia
2856,France,Japan,Argentina
2857,Netherlands,Colombia,United States
2858,Australia,Netherlands,Brazil
2859,Spain,England,France
2860,Argentina,Spain,Germany
2861,Argentina,Belgium,England
2862,England,Morocco,Spain
2863,Brazil,Germany,Belgium
2864,Netherlands,Argentina,Portugal
2865,Japan,Germany,Belgium
2866,Ivory Coast,France,Argentina
2867,Australia,Belgium,Norway
