year,n_test,n_train,rps,log_loss,brier,accuracy,macro_f1,calibration_error
2018,64,3739,0.21092104414293328,0.9814274097700462,0.19441487509131136,0.546875,0.4057269610808631,0.04522343529620771
2022,64,7279,0.21190802575423384,1.0139121263517985,0.20001377953932375,0.53125,0.3923076923076923,0.06605265795511044
